Amount,DeviceID,ReturnCount,CouponUsed,HourOfDay,DayOfWeek,Month,TimeSinceLastTransaction,TransactionsInLastHour,AmountInLastHour,CustomerAge,ProductPrice,CustomerLocation,ProductCategory,IsFraud
4543.74,desktop,4,0,6,2,6,0.581,2,4769.14,38,5516.14,US,Clothing,0
5538.71,tablet,5,0,9,4,9,0.673,5,3956.9,25,4054.42,Canada,Home & Garden,1
2734.88,mobile,9,0,3,0,8,18.613,6,8183.98,62,3590.77,UK,Home & Garden,1
4611.68,tablet,8,0,16,4,3,8.948,6,4770.25,30,4499.6,Canada,Home & Garden,1
4903.53,desktop,4,0,16,5,12,26.55,9,6038.0,50,4964.93,US,Clothing,0
2688.68,tablet,5,0,2,0,4,4.52,5,6204.7,19,3810.65,UK,Groceries,0
3425.29,desktop,7,0,0,5,6,7.674,3,5157.0,46,3825.19,UK,Home & Garden,0
4857.5,tablet,4,0,18,0,2,25.862,6,6519.77,26,4903.64,US,Home & Garden,0
3714.51,tablet,10,0,15,2,9,1.935,0,8130.58,31,5242.74,UK,Clothing,0
3179.32,desktop,8,0,16,0,12,11.054,5,5976.83,63,4371.54,US,Groceries,0
3875.87,desktop,7,0,8,6,6,11.908,4,7480.68,44,3277.05,UK,Electronics,0
2816.96,tablet,12,0,21,1,7,11.148,5,2016.92,25,4583.42,US,Clothing,0
6389.04,tablet,8,0,4,4,7,5.592,3,9686.83,49,5788.91,UK,Electronics,0
4404.98,desktop,7,0,15,4,1,3.731,2,7398.18,53,4739.91,US,Groceries,0
5543.07,mobile,3,1,22,4,4,9.567,8,8646.53,60,4063.39,US,Clothing,1
4588.32,desktop,2,0,11,2,7,0.738,2,4821.27,21,4964.64,Mexico,Electronics,0
3909.92,desktop,7,0,10,6,5,2.726,5,4988.24,42,4813.76,US,Clothing,0
3689.73,tablet,6,0,8,0,4,11.163,5,1819.96,40,5793.39,US,Home & Garden,0
4613.84,desktop,2,0,14,1,11,12.25,1,8715.76,36,5154.62,Mexico,Clothing,0
4237.49,desktop,6,0,6,5,3,2.926,7,4901.48,42,1986.73,UK,Electronics,0
4224.09,mobile,6,0,5,5,3,23.142,1,6025.18,49,4071.05,UK,Clothing,0
3399.4,mobile,4,0,3,6,1,3.282,3,9369.37,42,2642.72,Mexico,Groceries,1
5179.44,tablet,8,0,17,6,6,11.767,7,5061.65,26,2968.27,US,Clothing,0
4535.49,tablet,9,0,7,6,5,9.684,3,8116.85,47,2617.13,Canada,Home & Garden,0
5502.36,desktop,7,0,1,1,6,6.785,3,6148.19,40,4529.94,UK,Clothing,0
3060.12,tablet,6,0,2,5,1,7.645,3,4749.52,64,3953.75,US,Groceries,0
4178.13,tablet,6,0,10,2,7,11.621,3,6071.27,55,2754.2,US,Home & Garden,0
4203.46,tablet,3,1,9,3,9,11.366,4,5118.99,36,5623.83,Mexico,Electronics,0
2584.8,mobile,3,0,19,5,7,6.691,3,7190.8,26,4243.67,UK,Electronics,1
3169.05,mobile,2,1,5,5,8,12.834,7,7281.16,29,3466.69,Canada,Electronics,1
